Project,DOI,Title,Year,Relation
Fellow,,Ecological impacts of arable intensification in Europe,2001,Proposal
Fellow,,The impact of agricultural intensification and land-use change on the European arable flora,2012,Proposal
Fellow,,Arable weed decline in Northern France: Crop edges as refugia for weed conservation?,2009,Proposal
Fellow,,The role of weeds in supporting biological diversity within crop fields,2003,Proposal
Fellow,10.1073/pnas.2216573120,Farmland practices are driving bird population decline across Europe,2023,Proposal
Fellow,,Agroecology and the design of climate change- resilient farming systems,2015,Proposal
Fellow,,Quantification of regulating ecosystem services provided by weeds in annual cropping systems using a systematic map approach,2018,Proposal
Fellow,,What makes a weed a weed? A large-scale evaluation of arable weeds through a functional lens,2019,Proposal
Fellow,,"Habitat, spatial and temporal drivers of diversity patterns in a wild bee assemblage",2015,Proposal
Fellow,,Two sides of one medal: Arable weed vegetation of Europe in phytosociological data compared to agronomical weed surveys,2022,Proposal
Fellow,,"Vegetation management intensity and landscape diversity alter plant species richness, functional traits and community composition across European vineyards",2020,Proposal
Fellow,,Exploring the potential of vineyards for biodiversity conservation and delivery of biodiversity- mediated ecosystem services: A global-scale systematic review,2020,Proposal
Fellow,,A plant-trait response and effect framework to assess inter-row vineyards soil management,2016,Proposal
Fellow,,Using Assembly Theory to Explain Changes in a Weed Flora in Response to Agricultural Intensification,2010,Proposal
Fellow,,Climate and tillage system drive weed communities’ functional diversity in a Mediterranean cereal-legume rotation,2019,Proposal
Fellow,,"Vegetation management intensity and landscape diversity alter plant species richness, functional traits and community composition across European vineyards",2020,Proposal
Fellow,,A framework to estimate the contribution of weeds to the delivery of ecosystem (dis)services in agricultural landscapes,2021,Proposal
Fellow,,A vegetation-based indicator to assess the pollination value of field margin flora,2014,Proposal
Fellow,,Historical nectar assessment reveals the fall and rise of floral resources in Britain,2016,Proposal
Fellow,,The contribution of spatial mass effects to plant diversity in arable fields,2019,Proposal
Fellow,,Both long-term grasslands and crop diversity are needed to limit pest and weed infestations in agricultural landscapes,2023,Proposal
Fellow,,A functional diversity approach of crop sequences reveals that weed diversity and abundance show different responses to environmental variability,2019,Proposal
Fellow,,What good is weed diversity?,2018,Proposal
Fellow,,Combining the fourth-corner and the RLQ methods for assessing trait responses to environmental variation,2014,Proposal
Fellow,,A global method for calculating plant CSR ecological strategies applied across biomes world-wide,2017,Proposal
Fellow,,Using Assembly Theory to Explain Changes in a Weed Flora in Response to Agricultural Intensification,2010,Proposal
Fellow,,Place-based social-ecological research is crucial for designing collective management of ecosystem services,2022,Proposal
Fellow,,"Flowers of ruderal species are numerous but small, short and low-rewarding",2023,Top5
Fellow,,Promising weeds forage potential in perennial Mediterranean agroecosystems,2023,Top5
Fellow,,Species dominance rather than complementarity drives community digestibility and litter decomposition in species-rich Mediterranean rangelands,2022,Top5
Fellow,,"Relative importance of region, seasonality and weed management practice effects on the functional structure of weed communities in French vineyards",2022,Top5
Fellow,,Does seed mass drive interspecies variation in the effect of management practices on weed demography?,2021,Top5
Fellow,10.1111/wre.12562,Arable Weeds and Management in Europe” database: Challenges and opportunities of combining weed survey data at a European scale,2023,Top5
Fellow,,Do ecological specialization and functional traits explain the abundance-frequency relationship? Arable weeds as a case study,2021,Top5
Fellow,10.1016/j.tplants.2020.05.013,Weeds: against the rules?,2020,Top5
Fellow,,A functional diversity approach of crop sequences reveals that weed diversity and abundance show different responses to environmental variability,2019,Top5
Fellow,10.1016/j.agee.2019.01.006,Relative importance of environmental factors and farming practices in shaping plant communities structure and composition in French vineyard.,2019,Top5
Fellow,,Enhancing flowering plant functional richness improves wild bee diversity in vineyard inter-rows in different floral kingdoms,2021,Top5
Fellow,,Landscape simplification increases vineyard pest outbreaks and insecticide use,2021,Top5
Fellow,,"Vegetation management intensity and landscape diversity alter plant species richness, functional traits and community composition across European vineyards",2020,Top5
Fellow,,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",2019,Top5
Fellow,,Effects of vegetation management intensity on biodiversity and ecosystem services in vineyards: A meta-analysis,2018,Top5
Fellow,10.1111/wre.12562,Arable Weeds and Management in Europe” database: Challenges and opportunities of combining weed survey data at a European scale,2023,Top5
Fellow,,Two sides of one medal: Arable weed vegetation of Europe in phytosociological data compared to agronomical weed surveys,2022,Top5
Fellow,,Defining Integrated Weed Management: A Novel Conceptual Framework for Models,2021,Top5
Fellow,,Using functional traits to model plant community dynamics,2020,Top5
Fellow,,An ecological future for weed science to sustain crop production and the environment. A review,2020,Top5
Fellow,,Management of service crops for the provision of ecosystem services in vineyards: A review,2018,Top5
