"Title","Year","DOI","score","title_dist","new_title","Project","Relation"
"Intraspecific body size variability in soil organisms at a European scale: Implications for functional biogeography",2018,"10.1111/1365-2435.13194",NA,NA,NA,"Tres-Pratic","Top5"
"Global review of meta-analyses reveals key data gaps in agricultural impact studies on biodiversity in croplands",2024,NA,NA,NA,NA,"Tres-Pratic","Top5"
"Ecomorphosis in European Collembola: A review in the context of trait-based ecology",2023,"10.1016/j.apsoil.2022.104692",NA,NA,NA,"Tres-Pratic","Top5"
"Communities of Collembola show functional resilience in a long-term field experiment simulating climate change",2022,"10.1016/j.pedobi.2022.150789",NA,NA,NA,"Tres-Pratic","Top5"
"A common framework for developing robust soil fauna classifications",2022,"10.1016/j.geoderma.2022.116073",NA,NA,NA,"Tres-Pratic","Top5"
"Semantics about soil organic carbon storage: DATA4C+, a comprehensive thesaurus and classification of management practices in agriculture and forestry",2022,"10.5194/soil-9-89-2023","73.60043",0,"Semantics about soil organic carbon storage:  DATA4C+, a comprehensive thesaurus and classification of management practices in agriculture and forestry","Tres-Pratic","Proposal"
"Pesticides and earthworms. A review",2014,"10.1007/s13593-013-0151-z",NA,NA,NA,"Tres-Pratic","Proposal"
"Making literature reviews more reliable through application of lessons from systematic reviews",2015,"10.1111/cobi.12541",NA,NA,NA,"Tres-Pratic","Proposal"
"How agroforestry systems influence soil fauna and their functions - a review",2019,"10.1007/s11104-019-04322-4",NA,NA,NA,"Tres-Pratic","Proposal"
"Arthropod functional traits shaped by landscape-scale field size, local agri-environment schemes and edge effects",2022,"10.1016/j.baae.2020.09.006",NA,NA,NA,"Tres-Pratic","Proposal"
"A functional approach reveals community responses to disturbances",2013,"10.1016/j.tree.2012.10.004",NA,NA,NA,"Tres-Pratic","Proposal"
"Waterbird communities adjust to climate warming according to conservation policy and species protection status",2018,"10.1016/j.biocon.2018.09.019","73.727036",0,"Waterbird communities adjust to climate warming according to conservation policy and species protection status","Spatman","Top5"
"Visual structure of landscapes seen from built environment",2018,"10.1016/j.ufug.2018.03.020","40.496704",0,"Visual structure of landscapes seen from built environment","Spatman","Top5"
"Valley-bottom wetland selection for water-quality preservation: How to deal with the absence of quantification of water-quality benefits?",2019,"10.1016/j.wre.2018.09.002","91.58797",0,"Valley-bottom wetland selection for water-quality preservation: How to deal with the absence of quantification of water-quality benefits?","Spatman","Top5"
"Urban-rural-natural gradient analysis with CORINE data: An application to metropolitan France",2018,"10.1016/j.landurbplan.2017.11.005",NA,NA,NA,"Spatman","Top5"
"Urban socioeconomic inequality and biodiversity often converge but not always: a global meta-analysis",2020,"10.1016/j.landurbplan.2020.103799",NA,NA,NA,"Spatman","Top5"
"The transient response of ecosystems to climate change is amplified by top-down trophic interactions",2018,"10.1111/oik.05052","51.457977",9,"The transient response of ecosystems to climate change is amplified by trophic interactions","Spatman","Top5"
"The more things change: Species losses detected in Phoenix despite stability in bird-socioeconomic relationships",2019,"10.1002/ecs2.2624",NA,NA,NA,"Spatman","Top5"
"The importance of ecological memory for trophic rewilding as an ecosystem restoration approach",2019,"10.1111/brv.12432","50.74132",0,"The importance of ecological memory for trophic rewilding as an ecosystem restoration approach","Spatman","Top5"
"The importance of being random! Taking full account of random effects in nonlinear sigmoid hierarchical Bayesian models reveals the relationship between deadwood and the species richness of saproxylic beetles",2020,"10.1016/j.foreco.2020.118064","119.38822",0,"The importance of being random! Taking full account of random effects in nonlinear sigmoid hierarchical Bayesian models reveals the relationship between deadwood and the species richness of saproxylic beetles","Spatman","Top5"
"The ‘bioeconomics vs bioeconomy’ debate: beyond criticism, advancing research fronts",2022,"10.1016/j.eist.2021.11.004",NA,NA,NA,"Spatman","Top5"
"Slow demography and limited dispersal constrain the expansion of north-eastern temperate forests under climate change",2020,"10.1111/jbi.13978","84.656906",0,"Slow demography and limited dispersal constrain the expansion of north‐eastern temperate forests under climate change","Spatman","Top5"
"Ségrégation environnementale et risques industriels : les populations à bas revenu de la métropole Aix-Marseille-Provence sont-elles plus exposées aux sites Seveso ?",2021,"10.3726/b17992",NA,0,"Ségrégation environnementale et risques industriels. Les populations à bas revenu de la métropole Aix-Marseille-Provence sont-elles plus exposées aux sites Seveso ?","Spatman","Top5"
"Scalable shift‐share analysis: Novel framework and application to France",2020,"10.1111/pirs.12558",NA,NA,NA,"Spatman","Top5"
"Scalable shift‐ share analysis: Novel framework and application to France",2020,"10.1111/pirs.12558",NA,NA,NA,"Spatman","Top5"
"Représentativité et lacunes du réseau d’aires protégées métropolitain terrestre au regard des enjeux de biodiversité",2020,NA,NA,NA,NA,"Spatman","Top5"
"Relationships between human activity and biodiversity in Europe at the national scale: Spatial density of human activity as a core driver of biodiversity erosion",2018,"10.1016/j.ecolind.2018.03.010","97.86523",0,"Relationships between human activity and biodiversity in Europe at the national scale: Spatial density of human activity as a core driver of biodiversity erosion","Spatman","Top5"
"Prediction of the purchase cost of agricultural land: The example of Côte-d’Or, France",2016,"10.1016/j.landusepol.2016.01.005","56.14279",0,"Prediction of the purchase cost of agricultural land: The example of Côte-d’Or, France","Spatman","Top5"
"Phenotypic selection on floral traits in an urban landscape",2018,"10.1098/rspb.2018.1239",NA,NA,NA,"Spatman","Top5"
"Past landscape explains forest periphery-to-core gradient of understorey plant communities in a reforestation context",2016,"10.1111/ddi.12384","64.827896",0,"Past landscape explains forest periphery‐to‐core gradient of understorey plant communities in a reforestation context","Spatman","Top5"
"Outstanding heritage sites, a resource for the territories",2020,"10.4000/viatourism.6448",NA,NA,NA,"Spatman","Top5"
"On the time lag between human activity and biodiversity in Europe at the national scale",2021,"10.1016/j.ancene.2021.100303","51.980125",0,"On the time lag between human activity and biodiversity in Europe at the national scale","Spatman","Top5"
"Object-oriented LULC classification in google earth engine combining snic, glcm, and machine learning algorithms",2020,"10.3390/rs12223776",NA,NA,NA,"Spatman","Top5"
"Natural and Environmental Amenities: A Review of Definitions, Measures and Issues",2018,"10.1016/j.ecolecon.2017.12.001",NA,NA,NA,"Spatman","Top5"
"Natural amenity-driven segregation: Evidence from location choices in French metropolitan areas",2016,"10.1016/j.ecolecon.2016.05.018",NA,NA,NA,"Spatman","Top5"
"Measuring urban forms from inter-building distances: Combining MST graphs with a Local Index of Spatial Association",2017,"10.1016/j.landurbplan.2017.03.003","85.97739",0,"Measuring urban forms from inter-building distances: Combining MST graphs with a Local Index of Spatial Association","Spatman","Top5"
"Measuring Environmental Inequalities: Insights from the Residential Segregation Literature",2019,"10.1016/j.ecolecon.2019.05.009",NA,NA,NA,"Spatman","Top5"
"Linking species and functional diversity of avian communities with NPP flows across French metropolitan landscapes",2021,NA,NA,NA,NA,"Spatman","Top5"
"Le proto-métabolisme : approche du fonctionnement bioéconomique d’un territoire agricole",2021,"10.4000/economierurale.8908",NA,NA,NA,"Spatman","Top5"
