"Project","DOI","Title","Year","Relation","X"
"Beyonds","10.1002/sd.410","A socio-metabolic transition towards sustainability? Challenges for another Great Transformation",2011,"Proposal",NA
"Beyonds","10.1038/s41559-019-0824-3","Increasing impacts of land use on biodiversity and carbon sequestration driven by population and economic growth",2019,"Proposal",NA
"Beyonds","10.1073/pnas.1116437108","Global food demand and the sustainable intensification of agriculture",2011,"Proposal",NA
"Beyonds","10.1146/annurev-environ-102016-060726","Material flow accounting: measuring global material use for sustainable development",2017,"Proposal",NA
"Beyonds","10.2307/3956765","The limits to growth",1972,"Proposal",NA
"Beyonds","10.1007/978-3-030-50295-9","Biodiversity policy beyond economic growth",2020,"Proposal",NA
"Beyonds",NA,"Decoupling debunked",2019,"Proposal",NA
"Beyonds","10.2307/2624494","Beyond growth: the economics of sustainable development",1996,"Proposal",NA
"Beyonds","10.4324/9780203796146","Degrowth: a vocabulary for a new era",2014,"Proposal",NA
"Beyonds","10.4337/9781848442993.00016","Managing without growth: slower by design, not disaster",2008,"Proposal",NA
"Beyonds","10.4324/9781315151205-23","Research on degrowth",2018,"Proposal",NA
"Beyonds","10.1016/j.ecolecon.2011.04.013","Growth, degrowth and climate change: A scenario analysis",2012,"Proposal",NA
"Beyonds","10.1038/s41467-021-22884-9","1.5 C degrowth scenarios suggest the need for new mitigation pathways",2021,"Proposal",NA
"Beyonds","10.1641/0006-3568(2000)050[0593:eaacos]2.0.co;2","Economic associations among causes of species endangerment in the United States",2000,"Proposal",NA
"Beyonds","10.1038/s43016-022-00500-3","Integrating degrowth and efficiency perspectives enables an emission-neutral food system by 2100",2022,"Proposal",NA
"Beyonds","10.1038/s41467-023-38043-1","Projected landscape-scale repercussions of global action for climate and biodiversity protection",2023,"Proposal",NA
"Beyonds","10.1016/j.ecoser.2014.02.004","Predicting land-use change for biodiversity conservation and climate-change mitigation and its effect on ecosystem services in a watershed in Japan",2014,"Proposal",NA
"Beyonds","10.3410/f.717976094.793471328","Essential biodiversity variables",2013,"Proposal",NA
"Beyonds","10.1016/j.gloenvcha.2023.102766","Using the Nature Futures Framework as a lens for developing plural land use scenarios for Europe for 2050",2023,"Proposal",NA
"Beyonds","10.1016/bs.aecr.2017.12.003","The database of the PREDICTS (projecting responses of ecological diversity in changing terrestrial systems) project",2017,"Proposal",NA
"Beyonds","10.1201/9781315147130-12","Crop pests and predators exhibit inconsistent responses to surrounding landscape composition",2018,"Proposal",NA
"Beyonds","10.21511/ee.08(1).2017.08","Towards pathways bending the curve terrestrial biodiversity trends within the 21st century",2018,"Proposal",NA
"Beyonds","10.1016/j.gloenvcha.2016.03.013","Land use biodiversity impacts embodied in international food trade",2016,"Proposal",NA
"Beyonds",NA,"Future Climate Change Under SSP Emission Scenarios With GISS‐ E2.1",2022,"Proposal",NA
"Beyonds","10.5040/9781509941742.ch-004","Achievements and needs for the climate change scenario framework",2020,"Proposal",NA
"Beyonds",NA,"Exploring Policy Interventions for a Just Low-Carbon Transition: A Scenario Discovery Approach",2021,"Proposal",NA
"Beyonds","10.1038/s41893-020-0484-y","Feasible alternatives to green growth",2020,"Proposal",NA
"Beyonds","10.5194/gmd-2018-214-rc2","GCAM v5.1: representing the linkages between energy, water, land, climate, and economic systems",2019,"Proposal",NA
"Beyonds","10.9756/bijaip.8136","International review of IMAGE 3.0",2015,"Proposal",NA
"Beyonds",NA,"MAgPIE 4–a modular open-source framework for modeling global land systems",2019,"Proposal",NA
"Beyonds","10.5334/jors.208","Demeter–A land use and land cover change disaggregation model",2018,"Proposal",NA
"Beyonds",NA,"Global Futures: Modelling the Global Economic Impacts of Environmental Change to Support Policy-making-Technical Report",2020,"Proposal",NA
"Beyonds","10.1016/j.landurbplan.2017.09.019","A future land use simulation model (FLUS) for simulating multiple land use scenarios by coupling human and natural effects",2017,"Proposal",NA
"Beyonds","10.1007/978-3-319-60801-3_34","A short presentation of CLUMondo",2018,"Proposal",NA
"Beyonds","10.1038/s41597-020-00669-x","Global land use for 2015–2100 at 0.05 resolution under diverse socioeconomic and climate scenarios",2020,"Proposal",NA
"Beyonds","10.1038/s41597-022-01204-w","1 km land use/land cover change of China under comprehensive socioeconomic and climate scenarios for 2020–2100",2022,"Proposal",NA
"Beyonds","10.1111/gcb.12331","Land cover change or land-use intensification: simulating land system change with a global-scale land change model",2013,"Proposal",NA
"Beyonds","10.1002/ldr.4083","Representing responses to climate change in spatial land system models",2021,"Proposal",NA
"Beyonds","10.1016/j.scitotenv.2020.139929","Optimization of the land use pattern in Horqin Sandy Land by using the CLUMondo model and Bayesian belief network",2020,"Proposal",NA
"Beyonds","10.1016/bs.aecr.2017.12.003","Modelling and projecting the response of local terrestrial biodiversity worldwide to land use and related pressures: the PREDICTS project",2018,"Proposal",NA
"Beyonds","10.1111/ele.13926/v1/review1","Intensive human land uses negatively affect vertebrate functional diversity",2022,"Proposal",NA
"Beyonds","10.1007/s10584-011-0153-2","Harmonization of land-use scenarios for the period 1500–2100: 600 years of global gridded annual land-use transitions, wood harvest, and resulting secondary lands",2011,"Proposal",NA
"Beyonds","10.1007/s10531-017-1356-2","Land-use effects on local biodiversity in tropical forests vary between continents",2017,"Proposal",NA
"Beyonds","10.1111/geb.13532","Availability and proximity of natural habitat influence cropland biodiversity in forest biomes globally",2022,"Proposal",NA
"Beyonds",NA,"Impacts of global food supply on biodiversity via land use and climate change",2023,"Proposal",NA
"Beyonds","10.1016/j.ecoser.2021.101387","Linking ecosystem condition and ecosystem services: A methodological approach applied to European agroecosystems",2022,"Proposal",NA
"Beyonds","10.52638/rfpt.2021.518","Apports de la télédétection au calcul d’indicateurs agri-environnementaux au service de la PAC, des agriculteurs et porteurs d’enjeu",2021,"Proposal",NA
"Beyonds","10.1007/s11625-020-00872-0","Levers and leverage points for pathways to sustainability",2020,"Proposal",NA
"Beyonds","10.1177/2053019619869947","From gross domestic product to wellbeing: How alternative indicators can help connect the new economy with the Sustainable Development Goals",2019,"Proposal",NA
"Beyonds","10.1038/s41560-021-00884-9","Urgent need for post-growth climate mitigation scenarios",2021,"Proposal",NA
"Beyonds","10.2307/1310054","What is conservation biology?",1985,"Proposal",NA
"Beyonds","10.1002/(sici)1099-1719(199905)7:2<87::aid-sd102>3.0.co;2-5","Limits to growth, sustainable development and environmental Kuznets curves: an examination of the environmental impact of economic development",1999,"Proposal",NA
"Beyonds","10.1002/vetr.3293","Farmland practices are driving bird population decline across Europe",2023,"Proposal",NA
"Beyonds",NA,"A degrowth scenario for biodiversity? Some methodological avenues and a call for collaboration",2022,"Proposal",NA
"Beyonds","10.1016/j.ecolecon.2014.03.004","Agricultural public policy: Green or sustainable?",2014,"Proposal",NA
"Beyonds","10.1007/s10113-016-1023-2","Reconciling agriculture and biodiversity in public policies: a bio-economic perspective.",2016,"Proposal",NA
"Beyonds","10.1371/journal.pone.0200438","Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions",2019,"Proposal",NA
"Beyonds","10.1016/j.landurbplan.2010.03.007","Long-term anthropogenic and ecological dynamics of a Mediterranean landscape: Impacts on multiple taxa",2010,"Proposal",NA
"Beyonds","10.3390/su10082764","Terrestrial Vertebrate Biodiversity Loss under Future Global Land Use Change Scenarios",2018,"Proposal",NA
"Beyonds",NA,"Global effects of land use on local terrestrial biodiversity",2015,"Proposal",NA
"Beyonds","10.1371/journal.pone.0217319","The causal nexus between energy consumption, carbon emissions and economic growth: New evidence from China, India and G7 countries using convergent cross mapping",2019,"Proposal",NA
"Beyonds","10.1016/j.ecolind.2011.04.022","Assessing the global environmental consequences of economic growth through the ecological footprint: a focus on China and India",2012,"Proposal",NA
"Beyonds","10.1016/j.ecolecon.2009.01.017","Economic prosperity, biodiversity conservation, and the environmental Kuznets curve",2009,"Proposal",NA
"Beyonds","10.1007/s13280-023-01861-0","How the Green Architecture of the 2023–2027 Common Agricultural Policy could have been greener",2023,"Top5",NA
"Beyonds","10.1016/j.landurbplan.2022.104353","Road density and forest fragmentation shape bat communities in temperate mosaic landscapes",2022,"Top5",NA
"Beyonds","10.1111/1365-2664.13885","Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards.",2021,"Top5",NA
"Beyonds","10.1371/journal.pone.0200438","Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions",2019,"Top5",NA
"Beyonds","10.1126/science.aax3146","A greener path for the EU Common Agricultural Policy",2019,"Top5",NA
"Beyonds","10.3389/fenvs.2022.889506","Productive versus environmental objectives of agricultural policies dealing with climate change: a French case study",2022,"Top5",NA
"Beyonds","10.1561/101.00000131","Bioeconomic Models for Terrestrial Social–Ecological System Management: A Review",2022,"Top5",NA
"Beyonds","10.1016/j.jenvman.2019.109607","Contribution of the land use allocation model for agroecosystems: The case of Torrecchia Vecchia.",2019,"Top5",NA
"Beyonds","10.1016/j.landusepol.2019.02.026","Bioeconomic impacts of agroforestry policies in France.",2019,"Top5",NA
"Beyonds","10.1016/j.agsy.2018.08.001","A robustness-based viewpoint on the production-ecology trade-off in agroecosystems.",2018,"Top5",NA
"Beyonds","10.1038/s41586-022-04644-x","Agriculture and climate change are reshaping insect biodiversity worldwide",2022,"Top5",NA
"Beyonds","10.1111/gcb.15978","Vertebrate population trends are influenced by interactions between land use, climatic position, habitat loss and climate change",2022,"Top5",NA
"Beyonds","10.1016/j.oneear.2020.12.008","A review of the interactions between biodiversity, agriculture, climate change, and international trade: research and policy priorities",2021,"Top5",NA
"Beyonds","10.1111/1365-2435.13500","Global effects of land use on biodiversity differ among functional groups",2020,"Top5",NA
"Beyonds","10.1371/journal.pbio.2006841","Widespread winners and narrow-ranged losers: Land use homogenizes biodiversity in local assemblages worldwide",2018,"Top5",NA
"Beyonds","10.3410/f.738650542.793578633","Bending the curve of terrestrial biodiversity needs an integrated strategy",2020,"Top5",NA
"Beyonds","10.1016/j.worlddev.2017.10.012","National consumption and global trade impacts on biodiversity",2019,"Top5",NA
"Beyonds","10.1038/s41467-018-03308-7","Multi-indicator sustainability assessment of global food systems",2018,"Top5",NA
"Beyonds","10.3390/su10082764","Terrestrial vertebrate biodiversity loss under future global land use change scenarios",2018,"Top5",NA
"Beyonds","10.1021/acs.est.7b05570","Land use intensity-specific global characterization factors to assess product biodiversity footprints",2018,"Top5",NA
"Beyonds","10.1038/d44148-023-00236-7","Increasing crop rotational diversity can enhance cereal yields",2023,"Top5",NA
"Beyonds","10.1016/j.biocon.2021.109363","Flower strips enhance abundance of bumble bee queens and males in landscapes with few honey bee hives.",2021,"Top5",NA
"Beyonds","10.1111/gcb.15386","Water stress and insect herbivory interactively reduce crop yield while the insect pollination benefit is conserved",2021,"Top5",NA
"Beyonds","10.3410/f.738985439.793580152","Agricultural diversification promotes multiple ecosystem services without compromising yield",2020,"Top5",NA
"Beyonds","10.1016/j.tree.2018.11.002","Ecological intensification: bridging the gap between science and practice",2019,"Top5",NA
"Beyonds","10.1002/ldr.4083","Representing responses to climate change in spatial land system models",2021,"Top5",NA
"Beyonds","10.1007/s10980-021-01227-5","A new European land systems representation accounting for landscape characteristics",2021,"Top5",NA
"Beyonds","10.1016/j.cosust.2019.05.002","Beyond land cover change: towards a new generation of land use models",2019,"Top5",NA
"Beyonds","10.1016/j.gloenvcha.2018.04.007","Global change effects on land management in the Mediterranean region",2018,"Top5",NA
"Beyonds","10.1007/s11027-017-9761-0","Adaptation of land management in the Mediterranean under scenarios of irrigation water use and availability",2018,"Top5",NA
"Beyonds","10.1007/s11625-022-01200-4","Managing biodiversity in the Anthropocene: discussing the Nature Futures Framework as a tool for adaptive decision-making for nature under climate change.",2022,"Top5",NA
"Beyonds","10.1080/26395916.2021.1901783","Advancing a toolkit of diverse futures approaches for global environmental assessments",2021,"Top5",NA
"Beyonds","10.1007/s11625-021-01013-x","Grounding global environmental assessments through bottom-up futures based on local practices and perspectives",2021,"Top5",NA
"Beyonds","10.1007/s11625-021-01014-w","Operationalizing the Nature Futures Framework to catalyze the development of nature-future scenarios",2021,"Top5",NA
"Beyonds","10.1002/pan3.10146","Developing multiscale and integrative nature–people scenarios using the Nature Futures Framework",2020,"Top5",NA
"Beyonds","10.1111/brv.12816","The Sixth Mass Extinction: fact, fiction or speculation?",2022,"Top5",NA
"Beyonds","10.1016/j.ecoinf.2021.101231","Collect and analysis of agro-biodiversity data in a participative context: A business intelligence framework",2021,"Top5",NA
"Beyonds","10.1038/s41467-020-16240-6","Urbanization and agricultural intensification destabilize animal communities differently than diversity loss",2020,"Top5",NA
